,entity,entity_type,sentiment,count
43,DJ Trainees,PERSON,0.800000011920929,1
171,Steve Stagnero,PERSON,0.6000000238418579,1
169,Steve Greenberg,PERSON,0.5,1
56,Ed Pinson,PERSON,0.5,1
219,collaborator,PERSON,0.4000000059604645,1
21,Anyone,PERSON,0.4000000059604645,1
193,another,PERSON,0.4000000059604645,1
52,Dickey,PERSON,0.3500000089406967,1
237,father-in-law,PERSON,0.30000001192092896,1
303,thousands,PERSON,0.30000001192092896,1
269,professionals,PERSON,0.30000001192092896,1
55,Ed O'Brien,PERSON,0.28821428013699396,4
14,Al Beckner,PERSON,0.2500000037252903,1
192,alumni,PERSON,0.20000000298023224,1
63,Everyone,PERSON,0.20000000298023224,1
162,Scott Cody,PERSON,0.20000000298023224,1
276,reunions,PERSON,0.20000000298023224,1
301,suspects,PERSON,0.20000000298023224,1
100,KATY-FM,PERSON,0.17999999821186066,1
138,Poly Royal,PERSON,0.16666666915019354,3
29,Bill Gurzi,PERSON,0.15000000409781933,1
233,everyone,PERSON,0.11666666219631831,2
170,Steve Ruegnitz,PERSON,0.10000000335276127,2
145,Rek-O-Cut,PERSON,0.10000000149011612,1
129,Most,PERSON,0.10000000149011612,1
266,plumber,PERSON,0.10000000149011612,1
174,The Commissioner,PERSON,0.10000000149011612,1
38,Craig Hines,PERSON,0.10000000149011612,1
294,student,PERSON,0.10000000149011612,1
148,Rick Smith,PERSON,0.05714285799435207,1
120,Marty Hijmans,PERSON,0.05000000074505806,2
205,caller,PERSON,0.049999999813735485,1
313,turntables,PERSON,0.033333333830038704,1
132,Murray Smith,PERSON,0.033333333830038704,1
69,Format Sheets,PERSON,0.02500000037252903,1
79,Harold Hallikainen,PERSON,0.020000001415610313,1
99,KATY,PERSON,0.019999997317790986,1
116,Lou Rinaldi,PERSON,0.014285714498588018,1
91,Jim Long,PERSON,0.012499995529651642,2
117,Lt. Guru,PERSON,0.0,1
172,Steve Witten,PERSON,0.0,1
182,William R. Gurzi,PERSON,0.0,1
123,Maureen McGovern,PERSON,0.0,1
152,Ron Margaretten,PERSON,0.0,1
186,Woody Goulart,PERSON,0.0,1
215,characters,PERSON,0.0,1
128,Morgana Hill,PERSON,0.0,1
238,few,PERSON,0.0,1
42,DJ,PERSON,0.0,1
34,Cheryl Wright,PERSON,0.0,1
70,Frank Warren,PERSON,0.0,1
54,Each,PERSON,0.0,1
44,DJ trainees,PERSON,0.0,2
48,Dean Opperman,PERSON,0.0,1
49,Dean of Applied Arts,PERSON,0.0,1
28,Bernie Wise,PERSON,0.0,1
27,Bernie Box,PERSON,0.0,1
251,instructor,PERSON,0.0,1
253,many,PERSON,0.0,1
15,Al Lindley,PERSON,0.0,1
18,Alumni,PERSON,0.0,1
224,couple,PERSON,-0.033333336313565574,1
213,carrier,PERSON,-0.05000000074505806,1
93,John Grandy,PERSON,-0.05000000074505806,1
282,solder,PERSON,-0.05000000074505806,1
57,Ed Zuchelli,PERSON,-0.05000000322858492,1
314,two,PERSON,-0.05000000447034836,1
61,Eric Dausman,PERSON,-0.054729730427802145,4
111,Kennedy,PERSON,-0.06000000089406967,1
243,friends,PERSON,-0.0666666713853677,4
139,President,PERSON,-0.07500000298023224,1
47,Day,PERSON,-0.08000000417232514,1
92,Jim Stueck,PERSON,-0.08560000091791153,2
46,Davidson,PERSON,-0.09000000432133674,1
257,nobody,PERSON,-0.09999999403953552,1
316,wife,PERSON,-0.10000000149011612,1
230,each other,PERSON,-0.10000000149011612,2
206,callers,PERSON,-0.10000000149011612,1
260,one,PERSON,-0.10000000149011612,1
218,classmates,PERSON,-0.10000000149011612,1
36,Class,PERSON,-0.10000000149011612,1
20,Andy Williams,PERSON,-0.10000000149011612,1
45,DJs,PERSON,-0.10000000149011612,1
50,Deborah,PERSON,-0.10000000149011612,1
149,Rick Williams,PERSON,-0.10000000149011612,1
147,Rick,PERSON,-0.10000000149011612,1
53,Duane Hill,PERSON,-0.10000000149011612,1
110,Kathy,PERSON,-0.10000000149011612,1
155,Royal,PERSON,-0.10000000149011612,1
94,Jon Jaeger,PERSON,-0.10000000397364299,1
80,Healey,PERSON,-0.10000000447034836,1
82,Homer Odem,PERSON,-0.10243902591670431,1
263,people,PERSON,-0.11481481597379402,3
40,D,PERSON,-0.12121212301832257,1
114,Len Filomeo,PERSON,-0.15000000223517418,2
16,Alan Holmes,PERSON,-0.15000000596046448,2
201,both,PERSON,-0.1666666716337204,1
185,Winter Quarter,PERSON,-0.20000000298023224,1
164,Some,PERSON,-0.20000000298023224,1
194,anyone,PERSON,-0.20000000298023224,2
134,News Director,PERSON,-0.20000000298023224,1
270,program director,PERSON,-0.20000000298023224,1
183,Wilson,PERSON,-0.20000000298023224,1
209,campus official,PERSON,-0.20000000298023224,1
150,Robert Nichol,PERSON,-0.20000000298023224,1
287,staff,PERSON,-0.22250000182539226,4
283,some,PERSON,-0.22500000055879354,1
163,Scott Larsen,PERSON,-0.24000000357627868,1
261,operator,PERSON,-0.2500000037252903,2
191,administrators,PERSON,-0.26666667436559993,1
190,administrator,PERSON,-0.2750000087544322,1
296,students,PERSON,-0.2952380992826961,2
25,Bauer,PERSON,-0.3000000019868215,1
13,Acopian,PERSON,-0.30000001192092896,1
307,transformer,PERSON,-0.30000001192092896,1
60,Eric,PERSON,-0.30000001192092896,1
87,Jan,PERSON,-0.36666666467984516,1
225,cue speaker,PERSON,-0.4000000059604645,1
71,Gary Fernstrom,PERSON,-0.41250000055879354,1
204,bunch,PERSON,-0.5,1
236,fan,PERSON,-0.5,1
232,engineers,PERSON,-0.5,1
256,no one,PERSON,-0.5100000038743019,2
291,station manager,PERSON,-0.5166666830579439,2
284,someone,PERSON,-0.5499999970197678,2
280,secretary,PERSON,-0.6000000238418579,1
228,department chairman,PERSON,-0.6000000238418579,1
73,Glenn Daly,PERSON,-0.699999988079071,1
151,Rod Allen,PERSON,-0.800000011920929,1
