,entity,entity_type,sentiment,count
128,studio b,ORGANIZATION,0.699999988079071,1
87,mid state electronics,ORGANIZATION,0.6000000238418579,1
126,steve stagnero,PERSON,0.6000000238418579,1
34,ed pinson,PERSON,0.5,1
17,bill gurzi,PERSON,0.4690476113132068,2
95,pacific bell,ORGANIZATION,0.4000000059604645,1
80,little theater,LOCATION,0.3333333333333333,1
31,dickey,PERSON,0.30000001192092896,1
116,sandercock street,LOCATION,0.30000001192092896,1
81,lompoc high school,ORGANIZATION,0.30000001192092896,1
73,kkdj,ORGANIZATION,0.20000000670552254,1
132,toyon,LOCATION,0.20000000298023224,1
25,cuesta park,LOCATION,0.20000000298023224,1
97,radio hill,LOCATION,0.20000000298023224,2
113,san diego state college,ORGANIZATION,0.20000000298023224,1
4,al beckner,PERSON,0.20000000298023224,1
117,scott cody,PERSON,0.20000000298023224,1
121,sparta a-20,ORGANIZATION,0.20000000298023224,1
33,ed o'brien,PERSON,0.19380951767402985,3
84,marty hijmans,PERSON,0.18333333109815916,2
66,katy-fm,PERSON,0.17999999821186066,1
96,poly royal,PERSON,0.16666666915019354,3
35,electrical engineering department,ORGANIZATION,0.15000000596046448,2
100,rek-o-cut,PERSON,0.15000000223517418,1
40,fcc,ORGANIZATION,0.15000000223517418,1
102,rg-218,LOCATION,0.15000000099341074,1
133,v,LOCATION,0.12222222321563297,1
125,steve ruegnitz,PERSON,0.10000000335276127,2
24,craig hines,PERSON,0.10000000149011612,1
72,kiis,ORGANIZATION,0.10000000149011612,1
53,james d. stueck,PERSON,0.10000000149011612,1
91,mt,LOCATION,0.10000000149011612,1
111,room 202,LOCATION,0.10000000149011612,1
98,radio shack,ORGANIZATION,0.10000000149011612,1
85,master control room,LOCATION,0.10000000149011612,1
68,kcpr,ORGANIZATION,0.07414935180424273,10
105,rick smith,PERSON,0.05714285799435207,1
112,sacramento,LOCATION,0.05000000074505806,2
19,cal poly,ORGANIZATION,0.049999999503294625,3
42,fm,ORGANIZATION,0.036363635550845756,1
92,murray smith,PERSON,0.033333333830038704,1
54,jampro,ORGANIZATION,0.027272729033773594,1
49,harold hallikainen,PERSON,0.020000001415610313,1
64,katy,LOCATION,0.019999997317790986,1
65,katy,PERSON,0.019999997317790986,1
82,lou rinaldi,PERSON,0.014285714498588018,1
120,sparta,LOCATION,0.0033333333830038725,4
1,ac,ORGANIZATION,0.0,1
5,al lindley,PERSON,0.0,1
137,william r. gurzi,PERSON,0.0,1
89,motorola,ORGANIZATION,0.0,1
6,alan holmes,PERSON,0.0,1
90,mr. johnson,PERSON,0.0,1
141,woody goulart,PERSON,0.0,1
67,kcoy,ORGANIZATION,0.0,1
86,maureen mcgovern,PERSON,0.0,1
136,walnut street,LOCATION,0.0,1
69,kcpr alumni group,ORGANIZATION,0.0,1
142,yahoo group,ORGANIZATION,0.0,1
39,establishment of campus radio,ORGANIZATION,0.0,1
11,b-12,ORGANIZATION,0.0,1
119,shure,ORGANIZATION,0.0,1
21,chevy,ORGANIZATION,0.0,1
20,california state polytechnic college,ORGANIZATION,0.0,1
16,bernie wise,PERSON,0.0,1
36,emergency broadcast system,ORGANIZATION,0.0,1
15,bernie box,PERSON,0.0,1
127,steve witten,PERSON,0.0,1
129,the lounge,ORGANIZATION,0.0,1
23,craig,PERSON,0.0,1
43,frank warren,PERSON,0.0,1
44,gates rdc,ORGANIZATION,0.0,1
109,ron margaretten,PERSON,0.0,1
103,rhino records,ORGANIZATION,0.0,1
50,highway 1,LOCATION,0.0,1
122,sparta electronics,ORGANIZATION,0.0,1
101,rek-o-kut,LOCATION,0.0,1
29,dean opperman,PERSON,0.0,1
52,ita,ORGANIZATION,-0.008333334078391394,1
134,visual electronics,ORGANIZATION,-0.033333336313565574,1
71,kennedy library,LOCATION,-0.05000000074505806,2
60,john grandy,PERSON,-0.05000000074505806,1
88,monterey street,LOCATION,-0.06666667014360428,1
38,eric dausman,PERSON,-0.0797297314212129,4
59,jim stueck,PERSON,-0.0818930049829277,2
74,ksly,ORGANIZATION,-0.08333333395421505,4
76,kvec,ORGANIZATION,-0.0854166674738129,4
22,class d,ORGANIZATION,-0.10000000149011612,1
32,duane hill,PERSON,-0.10000000149011612,1
30,deborah,PERSON,-0.10000000149011612,1
107,robert seibly,PERSON,-0.10000000149011612,1
106,rick williams,PERSON,-0.10000000149011612,1
124,stanford,ORGANIZATION,-0.10000000149011612,1
104,rick,PERSON,-0.10000000149011612,1
48,graphics arts,ORGANIZATION,-0.10000000149011612,1
55,jampro antenna company,ORGANIZATION,-0.10000000149011612,1
56,jampro ja-1be,ORGANIZATION,-0.10000000149011612,1
110,room 201,LOCATION,-0.10000000149011612,1
18,"blood, sweat & tears",ORGANIZATION,-0.10000000149011612,1
94,mustang daily,ORGANIZATION,-0.10000000149011612,1
93,music department,ORGANIZATION,-0.10000000149011612,1
14,beach boys,ORGANIZATION,-0.10000000149011612,1
63,kathy,PERSON,-0.10000000149011612,1
70,kennedy,PERSON,-0.10000000149011612,1
131,the who,ORGANIZATION,-0.10000000149011612,1
9,andy williams,PERSON,-0.10000000149011612,1
7,altmar,LOCATION,-0.10000000149011612,1
61,jon jaeger,PERSON,-0.10000000397364299,1
51,homer odem,PERSON,-0.10500000156462193,1
99,rca,ORGANIZATION,-0.15000000223517418,1
79,len filomeo,PERSON,-0.15000000223517418,2
0,a-20,ORGANIZATION,-0.16666666169961294,1
26,dc,LOCATION,-0.1666666716337204,1
115,san luis obispo,LOCATION,-0.18750000093132257,4
3,administration building,LOCATION,-0.20000000298023224,1
8,ampex,ORGANIZATION,-0.20000000298023224,1
140,winter quarter,PERSON,-0.20000000298023224,1
118,scott larsen,PERSON,-0.20000000298023224,1
138,wilson,PERSON,-0.20000000298023224,1
75,kuna-fm,ORGANIZATION,-0.20000000298023224,1
135,vw,ORGANIZATION,-0.20000000670552254,1
28,dean of applied arts,PERSON,-0.23333334177732468,1
27,dean of applied arts,ORGANIZATION,-0.2600000098347664,1
13,bauer,PERSON,-0.3000000019868215,1
12,bauer,ORGANIZATION,-0.3000000019868215,1
123,speech department,ORGANIZATION,-0.30000001192092896,1
37,eric,PERSON,-0.30000001192092896,1
2,acopian,PERSON,-0.30000001192092896,1
78,la,LOCATION,-0.30000001192092896,1
45,glenn daly,PERSON,-0.3166666602094968,2
41,federal government,ORGANIZATION,-0.34444444212648606,1
57,jan,PERSON,-0.36666666467984516,1
77,kzsu,ORGANIZATION,-0.3999999947845936,1
83,marsh streets,LOCATION,-0.4000000059604645,1
139,winter,ORGANIZATION,-0.4000000059604645,1
46,graphic arts,ORGANIZATION,-0.4000000059604645,1
114,san luis creek,LOCATION,-0.4000000059604645,1
58,jim long,PERSON,-0.5,1
62,journalism department,ORGANIZATION,-0.5,1
130,the new york times,ORGANIZATION,-0.6000000238418579,1
47,graphic arts building,LOCATION,-0.6000000238418579,1
10,av,ORGANIZATION,-0.800000011920929,1
108,rod allen,PERSON,-0.800000011920929,1
